ARTIST,LOCATION,POPULAR_SONG,MOOD,GENRE,INFLUENCED_BY,COLLABORATED_WITH,STYLE,DECADE
Prince Royce,Estados Unidos,El Aroma de Ti,Enamorado,Bachata,Luis Miguel,"Daddy Yankee, Shakira",Bachata pop,2010s
Juan Luis Guerra,Republica Dominicana,Burbujas de Amor,Enamorado,Bachata,Ramon Orlando,"Enrique Iglesias, Romeo Santos",Bachata tradicional,1990s
Aventura,Republica Dominicana,Obsesion,Enamorado,Bachata,Juan Luis Guerra,"Don Omar, Wisin & Yandel",Bachata urbana,2000s
Monchy & Daddy,Republica Dominicana,Capricho de Mujer,Enamorado,Bachata,Aventura,"Natti Natasha, Daddy Yankee",Bachata urbana,2000s
Daft Punk,Francia,One More Time,Bailarin,Electronica,Kraftwerk,"The Weeknd, Pharrell Williams",Electro house,1990s
Skrillex,Estados Unidos,Scary Monsters and Nice Sprites,Bailarin,Electronica,Deadmau5,"Diplo, Justin Bieber",Dubstep,2010s
Calvin Harris,Reino Unido,We Found Love,Bailarin,Electronica,David Guetta,"Rihanna, Dua Lipa",Electropop,2010s
Avicii,Suecia,Wake Me Up,Bailarin,Electronica,Tiësto,"Aloe Blacc, Nicky Romero",Progressive house,2010s
David Guetta,Francia,When I'm Gone,Bailarin,Electronica,Bob Sinclar,"Kelly Rowland, Sia",Electro house,2000s
BTS,Corea del Sur,Dynamite,Bailarin,K-Pop,Seo Taiji and Boys,"Halsey, Nicki Minaj","Pop dance, EDM",2010s
Blackpink,Corea del Sur,Ddu-Du Ddu-Du,Bailarin,K-Pop,2NE1,"Dua Lipa, Lady Gaga","K-Pop, EDM",2010s
Twice,Corea del Sur,Cheer Up,Bailarin,K-Pop,Girls' Generation,"Sana Minatozaki, Momo Hirai","Bubblegum pop, J-Pop",2010s
Red Velvet,Corea del Sur,Red Flavor,Bailarin,K-Pop,S.E.S.,"Selena Gomez, NCT Dream","Electropop, Bubblegum pop",2010s
EXO,Corea del Sur,Growl,Bailarin,K-Pop,Super Junior,"ZTao, Chen","R&B, Electronic dance music",2010s
The Beatles,Reino Unido,Hey Jude,Enamorado,Rock,Elvis Presley,"The Rolling Stones, Elton John",Rock and roll,1960s
The Rolling Stones,Reino Unido,(I Can't Get No) Satisfaction,Enojado,Rock,Chuck Berry,"Eric Clapton, Jimmy Page","Rock and roll, Blues rock",1960s
Led Zeppelin,Reino Unido,Stairway to Heaven,Triste,Rock,The Beatles,"Black Sabbath, Deep Purple","Hard rock, Heavy metal",1970s
Queen,Reino Unido,Bohemian Rhapsody,Triste,Rock,The Beatles,"David Bowie, Elton John","Rock progresivo, Glam rock",1970s
Pink Floyd,Reino Unido,Wish You Were Here,Triste,Rock,The Beatles,"Radiohead, Coldplay","Rock progresivo, Rock psicodelico",1970s
Arcade Fire,Canada,Wake Up,Bailarin,Indie,The Smiths,"David Bowie, Win Butler","Indie rock, Rock alternativo",2000s
The Lumineers,Estados Unidos,Ho Hey,Bailarin,Indie,Mumford & Sons,"Hozier, Nathaniel Rateliff","Folk rock, Americana",2010s
Bon Iver,Estados Unidos,Skinny Love,Triste,Indie,Sufjan Stevens,"Justin Vernon, Bruce Springsteen","Indie folk, Experimental rock",2000s
Vampire Weekend,Estados Unidos,A-Punk,Bailarin,Indie,The Strokes,"Paul Simon, Haim","Indie rock, Indie pop",2000s
St. Vincent,Estados Unidos,Cruel,Bailarin,Indie,David Bowie,"Annie Clark, Jack Antonoff","Art rock, Experimental rock",2000s
Lil Nas X,Estados Unidos,"""Montero (Call Me by Your Name)""",LGBT,Pop,Kanye West,"Miley Cyrus, Elton John",Pop Rap,2010s
Todrick Hall,Estados Unidos,"""Nails, Hair, Hips, Heels""",LGBT,Pop,Beyonce,"Ariana Grande, Ciara",Pop,2010s
Kim Petras,Alemania,"""Coconuts""",LGBT,Pop,Britney Spears,"Charli XCX, Allie X",Electropop,2010s
Years & Years,Reino Unido,"""Shine""",LGBT,Indie,Elton John,"Carly Rae Jepsen, Kylie Minogue",Synthpop,2010s
Olly Murs,Reino Unido,"""Kiss Me""",LGBT,Pop,Robbie Williams,"Demi Lovato, Cher",Pop,2010s
Sam Smith,Reino Unido,"""Stay with Me""",LGBT,Pop,Adele,"Normani, Lizzo",Pop,2010s
Troye Sivan, Australia,"""Blinding Lights""",LGBT,Pop,The Weeknd,"Charli XCX, Ariana Grande",Synthpop,2010s
Frank Ocean,Estados Unidos,"""Thinkin Bout You""",LGBT,Alternativo,Stevie Wonder,"Beyonce, Calvin Harris",R&B,2010s
Kehlani,Estados Unidos,"""Nights Like This""",LGBT,Alternativo,Aaliyah,"Bryson Tiller, ZHU",R&B,2010s
MNEK,Reino Unido,"""Pray for Me""",LGBT,Pop,Whitney Houston,"Dua Lipa, Little Mix",Pop,2010s
